"key","imageKey","no","name","abilities","hp","atk","def","spa","spd","spe","evioliteEligible","point","synergyName","syn_physicalAttacker","syn_specialAttacker","syn_physicalSweeper","syn_specialSweeper","syn_physicalWall","syn_specialWall","syn_setup","types","moves"
"p0130-2","0130-M","130","メガギャラドス","かたやぶり","95","155","109","70","130","81","false","","","","","","","","","","みず|あく","ギガインパクト|すてみタックル|あばれる|のしかかり|からげんき|がむしゃら|じたばた|はかいこうせん|さわぐ|りんしょう|いびき|てだすけ|ねごと|いばる|こらえる|こわいかお|まもる|みがわり|ほえる|パワーウィップ|やけっぱち|だいもんじ|かえんほうしゃ|にほんばれ|アクアテール|ダイビング|たきのぼり|ハイドロポンプ|だくりゅう|なみのり|ねっとう|みずのはどう|ひやみず|うずしお|あまごい|かみなり|10まんボルト|でんじは|とびはねる|ぼうふう|ストーンエッジ|すなあらし|じしん|じならし|こおりのキバ|ゆきなだれ|ふぶき|れいとうビーム|こごえるかぜ|ねむる|うらみ|げきりん|ドラゴンダイブ|ドラゴンテール|スケイルショット|りゅうのはどう|ドラゴンエール|りゅうのまい|かみくだく|うっぷんばらし|ぶんまわす|かみつく|しっぺがえし|あくのはどう|ちょうはつ|アイアンテール|アイアンヘッド"
"p0132","0132","132","メタモン","じゅうなん|かわりもの","48","48","48","48","48","48","false","","","","","","","","","","ノーマル","へんしん"
"p0134","0134","134","シャワーズ","ちょすい|うるおいボディ","130","65","60","110","95","65","false","","","","","","","","","","みず","ギガインパクト|とっておき|すてみタックル|のしかかり|からげんき|ほしがる|でんこうせっか|じたばた|はかいこうせん|ハイパーボイス|りんしょう|ウェザーボール|いびき|まねっこ|くすぐる|あくび|ねがいごと|てだすけ|バトンタッチ|ねごと|こらえる|まもる|みがわり|きあいだめ|ほえる|くさわけ|にほんばれ|アクアブレイク|ダイビング|たきのぼり|クイックターン|ハイドロポンプ|だくりゅう|なみのり|ねっとう|みずのはどう|ひやみず|うずしお|アクアリング|あまごい|とける|あなをほる|どろかけ|ふぶき|れいとうビーム|こごえるかぜ|くろいきり|みきり|アシストパワー|めいそう|ねむる|シャドーボール|のろい|かみつく|うそなき|アイアンテール|みわくのボイス|つぶらなひとみ|あまえる"
"p0135","0135","135","サンダース","ちくでん|はやあし","65","65","60","110","95","130","false","","","","","","","","","","でんき","ギガインパクト|とっておき|すてみタックル|のしかかり|からげんき|ほしがる|でんこうせっか|じたばた|はかいこうせん|ハイパーボイス|りんしょう|ウェザーボール|いびき|まねっこ|くすぐる|あくび|ねがいごと|てだすけ|バトンタッチ|ねごと|こらえる|まもる|みがわり|きあいだめ|ほえる|くさわけ|にほんばれ|あまごい|ワイルドボルト|かみなりのキバ|かみなり|10まんボルト|ほうでん|ライジングボルト|ボルトチェンジ|エレキネット|チャージビーム|エレキボール|エレキフィールド|かいでんぱ|じゅうでん|でんじは|ミサイルばり|あなをほる|どろかけ|みきり|アシストパワー|めいそう|ねむる|ひかりのかべ|こうそくいどう|シャドーボール|のろい|かみつく|うそなき|きんぞくおん|みわくのボイス|つぶらなひとみ|あまえる"
"p0136","0136","136","ブースター","もらいび|こんじょう","65","130","60","95","110","65","false","","","","","","","","","","ほのお","ギガインパクト|とっておき|すてみタックル|のしかかり|からげんき|ほしがる|でんこうせっか|がむしゃら|じたばた|はかいこうせん|ハイパーボイス|りんしょう|ウェザーボール|いびき|まねっこ|くすぐる|あくび|ねがいごと|てだすけ|バトンタッチ|ねごと|こらえる|こわいかお|まもる|みがわり|きあいだめ|ほえる|くさわけ|フレアドライブ|やけっぱち|ほのおのキバ|ニトロチャージ|オーバーヒート|だいもんじ|ねっぷう|かえんほうしゃ|ふんえん|しっとのほのお|ほのおのうず|おにび|にほんばれ|あまごい|あなをほる|ねっさのだいち|どろかけ|ばかぢから|みきり|アシストパワー|めいそう|ねむる|シャドーボール|のろい|かみつく|うそなき|みわくのボイス|つぶらなひとみ|あまえる"
"p0142","0142","142","プテラ","いしあたま|プレッシャー|きんちょうかん","80","105","65","60","75","130","false","","","","","","","","","","いわ|ひこう","ギガインパクト|からげんき|はかいこうせん|りんしょう|いびき|ねごと|メロメロ|いばる|こらえる|こわいかお|まもる|みがわり|ほえる|ふきとばし|ほのおのキバ|だいもんじ|ねっぷう|かえんほうしゃ|にほんばれ|あまごい|かみなりのキバ|ゴッドバード|そらをとぶ|つばめがえし|ダブルウイング|ぼうふう|おいかぜ|はねやすめ|ストーンエッジ|いわなだれ|がんせきふうじ|ロックブラスト|メテオビーム|げんしのちから|ワイドガード|ステルスロック|すなあらし|じしん|じならし|だいちのちから|こおりのキバ|サイコファング|ねむる|こうそくいどう|のろい|ドラゴンクロー|りゅうのはどう|りゅうのまい|かみくだく|ぶんまわす|ダメおし|どろぼう|かみつく|しっぺがえし|ちょうはつ|アイアンテール|アイアンヘッド|はがねのつばさ"
"p0142-2","0142-M","142","メガプテラ","かたいツメ","80","135","85","70","95","150","false","","","","","","","","","","いわ|ひこう","ギガインパクト|からげんき|はかいこうせん|りんしょう|いびき|ねごと|メロメロ|いばる|こらえる|こわいかお|まもる|みがわり|ほえる|ふきとばし|ほのおのキバ|だいもんじ|ねっぷう|かえんほうしゃ|にほんばれ|あまごい|かみなりのキバ|ゴッドバード|そらをとぶ|つばめがえし|ダブルウイング|ぼうふう|おいかぜ|はねやすめ|ストーンエッジ|いわなだれ|がんせきふうじ|ロックブラスト|メテオビーム|げんしのちから|ワイドガード|ステルスロック|すなあらし|じしん|じならし|だいちのちから|こおりのキバ|サイコファング|ねむる|こうそくいどう|のろい|ドラゴンクロー|りゅうのはどう|りゅうのまい|かみくだく|ぶんまわす|ダメおし|どろぼう|かみつく|しっぺがえし|ちょうはつ|アイアンテール|アイアンヘッド|はがねのつばさ"
"p0143","0143","143","カビゴン","めんえき|あついしぼう|くいしんぼう","160","110","65","65","110","30","false","","","","","","","","","","ノーマル","じばく|ギガインパクト|とっておき|すてみタックル|のしかかり|からげんき|ほしがる|じたばた|はかいこうせん|ハイパーボイス|さわぐ|りんしょう|だいちのはどう|いびき|とおせんぼう|あくび|リサイクル|てだすけ|のみこむ|たくわえる|アンコール|ねごと|メロメロ|こらえる|はらだいこ|まもる|みがわり|いやなおと|タネばくだん|くさわけ|ソーラービーム|ほのおのパンチ|ヒートスタンプ|だいもんじ|かえんほうしゃ|にほんばれ|ハイドロポンプ|なみのり|ひやみず|あまごい|サンダーダイブ|ワイルドボルト|かみなりパンチ|かみなり|10まんボルト|いわなだれ|がんせきふうじ|うちおとす|すなあらし|ダストシュート|ゲップ|いえき|じしん|10まんばりき|あなをほる|じだんだ|じならし|じわれ|どろかけ|れいとうパンチ|ふぶき|れいとうビーム|こごえるかぜ|きあいパンチ|ばかぢから|アームハンマー|ボディプレス|かわらわり|カウンター|きあいだま|しねんのずつき|ねむる|ドわすれ|シャドーボール|のろい|げきりん|かみくだく|かみつく|なげつける|アイアンヘッド|ハードプレス|ヘビーボンバー|あまえる"
"p0149","0149","149","カイリュー","せいしんりょく|マルチスケイル","91","134","95","100","100","80","false","","","","","","","","","","ドラゴン|ひこう","ギガインパクト|メガトンキック|のしかかり|しんそく|からげんき|まきつく|はかいこうせん|りんしょう|ウェザーボール|いびき|てだすけ|しんぴのまもり|ねごと|こらえる|こわいかお|まもる|みがわり|ほえる|ふきとばし|ほのおのパンチ|だいもんじ|ねっぷう|かえんほうしゃ|ほのおのうず|にほんばれ|アクアテール|ダイビング|たきのぼり|アクアジェット|ハイドロポンプ|なみのり|みずのはどう|ひやみず|あまごい|かみなりパンチ|かみなり|10まんボルト|でんじは|そらをとぶ|つばめがえし|ぼうふう|エアスラッシュ|エアカッター|おいかぜ|はねやすめ|ストーンエッジ|いわなだれ|がんせきふうじ|すなあらし|じしん|じだんだ|じならし|アイススピナー|れいとうパンチ|ふぶき|れいとうビーム|こごえるかぜ|ゆきげしき|くろいきり|きあいパンチ|ばかぢから|ボディプレス|かわらわり|けたぐり|きあいだま|ねむる|ひかりのかべ|こうそくいどう|げきりん|ドラゴンダイブ|ドラゴンクロー|ワイドブレイカー|ドラゴンテール|スケイルショット|りゅうせいぐん|りゅうのはどう|ドラゴンエール|りゅうのまい|ぶんまわす|なげつける|アイアンテール|アイアンヘッド|はがねのつばさ"
"p0149-2","0149-M","149","メガカイリュー","マルチスケイル","91","124","115","145","125","100","false","","","","","","","","","","ドラゴン|ひこう","ギガインパクト|メガトンキック|のしかかり|しんそく|からげんき|まきつく|はかいこうせん|りんしょう|ウェザーボール|いびき|てだすけ|しんぴのまもり|ねごと|こらえる|こわいかお|まもる|みがわり|ほえる|ふきとばし|ほのおのパンチ|だいもんじ|ねっぷう|かえんほうしゃ|ほのおのうず|にほんばれ|アクアテール|ダイビング|たきのぼり|アクアジェット|ハイドロポンプ|なみのり|みずのはどう|ひやみず|あまごい|かみなりパンチ|かみなり|10まんボルト|でんじは|そらをとぶ|つばめがえし|ぼうふう|エアスラッシュ|エアカッター|おいかぜ|はねやすめ|ストーンエッジ|いわなだれ|がんせきふうじ|すなあらし|じしん|じだんだ|じならし|アイススピナー|れいとうパンチ|ふぶき|れいとうビーム|こごえるかぜ|ゆきげしき|くろいきり|きあいパンチ|ばかぢから|ボディプレス|かわらわり|けたぐり|きあいだま|ねむる|ひかりのかべ|こうそくいどう|げきりん|ドラゴンダイブ|ドラゴンクロー|ワイドブレイカー|ドラゴンテール|スケイルショット|りゅうせいぐん|りゅうのはどう|ドラゴンエール|りゅうのまい|ぶんまわす|なげつける|アイアンテール|アイアンヘッド|はがねのつばさ"
"p0154","0154","154","メガニウム","しんりょく|リーフガード","80","82","100","83","100","80","false","","","","","","","","","","くさ","ギガインパクト|すてみタックル|のしかかり|からげんき|がむしゃら|じたばた|はかいこうせん|りんしょう|ウェザーボール|いびき|てだすけ|あまいかおり|アンコール|しんぴのまもり|ねごと|こらえる|まもる|みがわり|つるぎのまい|ソーラーブレード|はなふぶき|リーフブレード|タネばくだん|グラススライダー|くさわけ|タネマシンガン|ハードプラント|リーフストーム|はなびらのまい|ソーラービーム|エナジーボール|ギガドレイン|くさむすび|グラスフィールド|ねをはる|こうごうせい|やどりぎのタネ|にほんばれ|かふんだんご|げんしのちから|どくのこな|じしん|じだんだ|じならし|だいちのちから|どろかけ|ボディプレス|カウンター|しねんのずつき|いやしのはどう|ねむる|リフレクター|ひかりのかべ|のろい|げきりん|ドラゴンテール|はたきおとす|うそなき|アイアンテール|マジカルシャイン|あまえる"
"p0154-2","0154-M","154","メガメガニウム","メガソーラー","80","92","115","143","115","80","false","","","","","","","","","","くさ|フェアリー","ギガインパクト|すてみタックル|のしかかり|からげんき|がむしゃら|じたばた|はかいこうせん|りんしょう|ウェザーボール|いびき|てだすけ|あまいかおり|アンコール|しんぴのまもり|ねごと|こらえる|まもる|みがわり|つるぎのまい|ソーラーブレード|はなふぶき|リーフブレード|タネばくだん|グラススライダー|くさわけ|タネマシンガン|ハードプラント|リーフストーム|はなびらのまい|ソーラービーム|エナジーボール|ギガドレイン|くさむすび|グラスフィールド|ねをはる|こうごうせい|やどりぎのタネ|にほんばれ|かふんだんご|げんしのちから|どくのこな|じしん|じだんだ|じならし|だいちのちから|どろかけ|ボディプレス|カウンター|しねんのずつき|いやしのはどう|ねむる|リフレクター|ひかりのかべ|のろい|げきりん|ドラゴンテール|はたきおとす|うそなき|アイアンテール|マジカルシャイン|あまえる"
"p0157","0157","157","バクフーン","もうか|もらいび","78","84","78","109","85","100","false","","","","","","","","","","ほのお","ギガインパクト|すてみタックル|メガトンキック|のしかかり|からげんき|ほしがる|でんこうせっか|がむしゃら|はかいこうせん|りんしょう|いびき|とおぼえ|てだすけ|ねごと|こらえる|まもる|みがわり|ほえる|ソーラービーム|フレアドライブ|やけっぱち|ほのおのパンチ|ほのおのキバ|ニトロチャージ|ブラストバーン|ふんか|もえつきる|オーバーヒート|だいもんじ|れんごく|ねっぷう|かえんほうしゃ|ふんえん|しっとのほのお|ほのおのうず|おにび|にほんばれ|ワイルドボルト|かみなりパンチ|つばめがえし|いわなだれ|がんせきふうじ|じしん|あなをほる|じだんだ|じならし|ねっさのだいち|きあいパンチ|かわらわり|きしかいせい|けたぐり|きあいだま|しねんのずつき|じんつうりき|ねむる|シャドークロー|シャドーボール|のろい|じごくづき|なげつける|アイアンヘッド|ジャイロボール|じゃれつく"
"p0157-2","01572","157","バクフーン(ヒスイ)","もうか|おみとおし","73","84","78","119","85","95","false","","","","","","","","","","ほのお|ゴースト","ギガインパクト|すてみタックル|メガトンキック|のしかかり|からげんき|ほしがる|でんこうせっか|がむしゃら|はかいこうせん|りんしょう|いびき|とおぼえ|ねごと|こらえる|まもる|みがわり|ほえる|ソーラービーム|フレアドライブ|やけっぱち|ほのおのパンチ|ほのおのキバ|ニトロチャージ|ブラストバーン|ふんか|もえつきる|オーバーヒート|だいもんじ|れんごく|ねっぷう|かえんほうしゃ|ふんえん|マジカルフレイム|しっとのほのお|ほのおのうず|おにび|にほんばれ|ワイルドボルト|かみなりパンチ|つばめがえし|いわなだれ|じしん|あなをほる|じだんだ|じならし|きあいパンチ|かわらわり|きしかいせい|けたぐり|きあいだま|しねんのずつき|じんつうりき|めいそう|ねむる|ポルターガイスト|シャドークロー|シャドーボール|ひゃっきやこう|たたりめ|ナイトヘッド|うらみ|のろい|あやしいひかり|アイアンヘッド|ジャイロボール|じゃれつく"
"p0160","0160","160","オーダイル","げきりゅう|ちからずく","85","105","100","79","83","78","false","","","","","","","","","","みず","ギガインパクト|すてみタックル|あばれる|メガトンキック|のしかかり|からげんき|がむしゃら|じたばた|はかいこうせん|さわぐ|りんしょう|いびき|とおせんぼう|てだすけ|ねごと|こらえる|こわいかお|まもる|みがわり|いやなおと|ほえる|つるぎのまい|くさわけ|アクアテール|アクアブレイク|ダイビング|たきのぼり|クイックターン|アクアジェット|ハイドロカノン|ハイドロポンプ|だくりゅう|なみのり|みずのはどう|ひやみず|うずしお|あまごい|つばめがえし|いわなだれ|がんせきふうじ|げんしのちから|じしん|あなをほる|じだんだ|じならし|マッドショット|どろかけ|れいとうパンチ|こおりのキバ|ゆきなだれ|ふぶき|れいとうビーム|こごえるかぜ|きあいパンチ|ばかぢから|かわらわり|カウンター|けたぐり|きあいだま|サイコファング|ねむる|こうそくいどう|シャドークロー|うらみ|のろい|げきりん|ドラゴンクロー|ワイドブレイカー|ドラゴンテール|スケイルショット|りゅうのはどう|りゅうのまい|かみくだく|うっぷんばらし|ぶんまわす|どろぼう|かみつく|なげつける|バークアウト|うそなき|おだてる|アイアンテール"
"p0160-2","0160-M","160","メガオーダイル","ドラゴンスキン","85","160","125","89","93","78","false","","","","","","","","","","みず|ドラゴン","ギガインパクト|すてみタックル|あばれる|メガトンキック|のしかかり|からげんき|がむしゃら|じたばた|はかいこうせん|さわぐ|りんしょう|いびき|とおせんぼう|てだすけ|ねごと|こらえる|こわいかお|まもる|みがわり|いやなおと|ほえる|つるぎのまい|くさわけ|アクアテール|アクアブレイク|ダイビング|たきのぼり|クイックターン|アクアジェット|ハイドロカノン|ハイドロポンプ|だくりゅう|なみのり|みずのはどう|ひやみず|うずしお|あまごい|つばめがえし|いわなだれ|がんせきふうじ|げんしのちから|じしん|あなをほる|じだんだ|じならし|マッドショット|どろかけ|れいとうパンチ|こおりのキバ|ゆきなだれ|ふぶき|れいとうビーム|こごえるかぜ|きあいパンチ|ばかぢから|かわらわり|カウンター|けたぐり|きあいだま|サイコファング|ねむる|こうそくいどう|シャドークロー|うらみ|のろい|げきりん|ドラゴンクロー|ワイドブレイカー|ドラゴンテール|スケイルショット|りゅうのはどう|りゅうのまい|かみくだく|うっぷんばらし|ぶんまわす|どろぼう|かみつく|なげつける|バークアウト|うそなき|おだてる|アイアンテール"
"p0168","0168","168","アリアドス","むしのしらせ|ふみん|スナイパー","70","90","70","60","70","40","false","","","","","","","","","","むし|どく","ギガインパクト|のしかかり|からげんき|はかいこうせん|りんしょう|いびき|バトンタッチ|ねごと|こらえる|こわいかお|まもる|みがわり|きあいだめ|いやなおと|かなしばり|つるぎのまい|くさわけ|ソーラービーム|ギガドレイン|にほんばれ|エレキネット|メガホーン|であいがしら|とびかかる|シザークロス|きゅうけつ|はいよるいちげき|むしくい|とびつく|とどめばり|ミサイルばり|むしのさざめき|むしのていこう|まとわりつく|ねばねばネット|いかりのこな|いとをはく|とびはねる|どくづき|クロスポイズン|ヘドロウェーブ|ヘドロばくだん|ベノムショック|アシッドボム|どくのいと|どくびし|どくどく|あなをほる|じだんだ|サイコキネシス|ねむる|こうそくいどう|かげうち|たたりめ|ナイトヘッド|うらみ|イカサマ|じごくづき|つじぎり|ふいうち|はたきおとす|ダメおし|どろぼう|スマートホーン"
"p0181","0181","181","デンリュウ","せいでんき|プラス","90","75","85","115","90","55","false","","","","","","","","","","でんき","ギガインパクト|すてみタックル|メガトンキック|のしかかり|からげんき|がむしゃら|はかいこうせん|りんしょう|いびき|おさきにどうぞ|てだすけ|しんぴのまもり|ねごと|こらえる|まもる|みがわり|いやなおと|ほえる|くさわけ|コットンガード|わたほうし|ほのおのパンチ|にほんばれ|あまごい|サンダーダイブ|ワイルドボルト|かみなりパンチ|でんじほう|かみなり|10まんボルト|ほうでん|ライジングボルト|ボルトチェンジ|パラボラチャージ|エレキネット|チャージビーム|エレキボール|エレキフィールド|じばそうさ|かいでんぱ|じゅうでん|でんじは|メテオビーム|パワージェム|あなをほる|じだんだ|じならし|れいとうパンチ|きあいパンチ|かわらわり|けたぐり|きあいだま|ねむる|リフレクター|ひかりのかべ|こうそくいどう|あやしいひかり|げきりん|ワイドブレイカー|ドラゴンテール|りゅうのはどう|ドラゴンエール|ぶんまわす|なげつける|おだてる|アイアンテール|マジカルシャイン"
"p0181-2","0181-M","181","メガデンリュウ","かたやぶり","90","95","105","165","110","45","false","","","","","","","","","","でんき|ドラゴン","ギガインパクト|すてみタックル|メガトンキック|のしかかり|からげんき|がむしゃら|はかいこうせん|りんしょう|いびき|おさきにどうぞ|てだすけ|しんぴのまもり|ねごと|こらえる|まもる|みがわり|いやなおと|ほえる|くさわけ|コットンガード|わたほうし|ほのおのパンチ|にほんばれ|あまごい|サンダーダイブ|ワイルドボルト|かみなりパンチ|でんじほう|かみなり|10まんボルト|ほうでん|ライジングボルト|ボルトチェンジ|パラボラチャージ|エレキネット|チャージビーム|エレキボール|エレキフィールド|じばそうさ|かいでんぱ|じゅうでん|でんじは|メテオビーム|パワージェム|あなをほる|じだんだ|じならし|れいとうパンチ|きあいパンチ|かわらわり|けたぐり|きあいだま|ねむる|リフレクター|ひかりのかべ|こうそくいどう|あやしいひかり|げきりん|ワイドブレイカー|ドラゴンテール|りゅうのはどう|ドラゴンエール|ぶんまわす|なげつける|おだてる|アイアンテール|マジカルシャイン"
"p0184","0184","184","マリルリ","あついしぼう|ちからもち|そうしょく","100","50","80","60","80","50","false","","","","","","","","","","みず|フェアリー","ギガインパクト|すてみタックル|のしかかり|からげんき|はかいこうせん|ハイパーボイス|さわぐ|りんしょう|いびき|まねっこ|くすぐる|てだすけ|アンコール|ねごと|こらえる|ほろびのうた|はらだいこ|まもる|みがわり|うたう|くさわけ|くさむすび|アクアテール|アクアブレイク|ダイビング|たきのぼり|アクアジェット|ハイドロポンプ|だくりゅう|なみのり|みずのはどう|ひやみず|うずしお|みずびたし|アクアリング|あまごい|とびはねる|あなをほる|じならし|マッドショット|どろかけ|アイススピナー|れいとうパンチ|ふぶき|れいとうビーム|こごえるかぜ|ゆきげしき|きあいパンチ|ばかぢから|かわらわり|きあいだま|みらいよち|ねむる|ドわすれ|ひかりのかべ|はたきおとす|ぶんまわす|なげつける|うそなき|アイアンテール|じゃれつく|ミストバースト|みわくのボイス|ドレインキッス|ミストフィールド|あまえる"
"p0186","0186","186","ニョロトノ","ちょすい|しめりけ|あめふらし","90","75","75","90","100","70","false","","","","","","","","","","みず","ギガインパクト|すてみタックル|のしかかり|からげんき|はたく|がむしゃら|はかいこうせん|ハイパーボイス|さわぐ|りんしょう|ウェザーボール|いびき|てだすけ|じこあんじ|アンコール|ねごと|メロメロ|いばる|こらえる|ほろびのうた|はらだいこ|まもる|みがわり|いやなおと|アクアブレイク|ダイビング|たきのぼり|ハイドロポンプ|だくりゅう|なみのり|みずのはどう|ひやみず|うずしお|あまごい|とびはねる|じしん|あなをほる|じならし|だいちのちから|マッドショット|どろかけ|れいとうパンチ|ふぶき|れいとうビーム|こごえるかぜ|くろいきり|きあいパンチ|かわらわり|ローキック|けたぐり|きあいだま|サイコキネシス|ねむる|ドわすれ|さいみんじゅつ|どろぼう|なげつける"
"p0196","0196","196","エーフィ","シンクロ|マジックミラー","65","65","60","130","95","110","false","","","","","","","","","","エスパー","ギガインパクト|とっておき|すてみタックル|のしかかり|からげんき|ほしがる|でんこうせっか|じたばた|はかいこうせん|ハイパーボイス|りんしょう|ウェザーボール|いびき|まねっこ|くすぐる|あくび|ねがいごと|てだすけ|じこあんじ|あさのひざし|バトンタッチ|しんぴのまもり|ねごと|こらえる|まもる|みがわり|きあいだめ|ほえる|くさわけ|くさむすび|にほんばれ|あまごい|でんじは|パワージェム|あなをほる|どろかけ|みきり|サイコファング|しねんのずつき|みらいよち|サイコキネシス|ワイドフォース|サイコショック|サイコノイズ|アシストパワー|サイコフィールド|マジックルーム|トリックルーム|パワースワップ|じゅうりょく|めいそう|ふういん|スキルスワップ|トリック|ねむる|リフレクター|ひかりのかべ|シャドーボール|のろい|あやしいひかり|かみつく|うそなき|みわくのボイス|マジカルシャイン|ドレインキッス|つぶらなひとみ|あまえる"
"p0197","0197","197","ブラッキー","シンクロ|せいしんりょく","95","65","110","60","130","65","false","","","","","","","","","","あく","ギガインパクト|とっておき|すてみタックル|のしかかり|からげんき|ほしがる|でんこうせっか|じたばた|はかいこうせん|ハイパーボイス|りんしょう|ウェザーボール|いびき|まねっこ|くすぐる|あくび|ねがいごと|てだすけ|じこあんじ|バトンタッチ|ねごと|くろいまなざし|いばる|こらえる|こわいかお|まもる|みがわり|きあいだめ|いやなおと|ほえる|くさわけ|にほんばれ|あまごい|でんじは|どくどく|あなをほる|どろかけ|みきり|サイコキネシス|アシストパワー|ガードスワップ|めいそう|スキルスワップ|ねむる|リフレクター|ひかりのかべ|シャドーボール|うらみ|のろい|あやしいひかり|イカサマ|じごくづき|かみくだく|うっぷんばらし|ダメおし|どろぼう|かみつく|しっぺがえし|あくのはどう|バークアウト|うそなき|ちょうはつ|いちゃもん|みわくのボイス|つぶらなひとみ|つきのひかり|あまえる"
"p0199","0199","199","ヤドキング","どんかん|マイペース|さいせいりょく","95","75","80","100","110","30","false","","","","","","","","","","みず|エスパー","ギガインパクト|のしかかり|からげんき|はかいこうせん|トライアタック|りんしょう|ウェザーボール|いびき|とおせんぼう|なまける|あくび|てだすけ|じこあんじ|しんぴのまもり|ねごと|いばる|こらえる|はらだいこ|まもる|みがわり|かなしばり|くさむすび|ほのおのパンチ|だいもんじ|かえんほうしゃ|にほんばれ|アクアブレイク|ダイビング|たきのぼり|シェルブレード|ハイドロポンプ|だくりゅう|なみのり|ねっとう|みずのはどう|ひやみず|うずしお|あまごい|かみなりパンチ|でんじは|いわなだれ|がんせきふうじ|パワージェム|ゲップ|じしん|あなをほる|じならし|マッドショット|れいとうパンチ|ゆきなだれ|ふぶき|れいとうビーム|こごえるかぜ|ゆきげしき|さむいギャグ|きあいパンチ|ドレインパンチ|かわらわり|きあいだま|しねんのずつき|みらいよち|サイコキネシス|ワイドフォース|サイコショック|サイコノイズ|アシストパワー|サイコフィールド|いやしのはどう|ワンダールーム|トリックルーム|めいそう|ふういん|スキルスワップ|トリック|ねむる|ドわすれ|リフレクター|ひかりのかべ|シャドーボール|のろい|イカサマ|なげつける|わるだくみ|アイアンテール|てっぺき"
"p0199-2","0199-R","199","ヤドキング(ガラル)","きみょうなくすり|マイペース|さいせいりょく","95","65","80","110","110","30","false","","","","","","","","","","どく|エスパー","ギガインパクト|のしかかり|からげんき|はかいこうせん|トライアタック|りんしょう|ウェザーボール|いびき|とおせんぼう|なまける|あくび|てだすけ|じこあんじ|しんぴのまもり|ねごと|いばる|こらえる|はらだいこ|こわいかお|まもる|みがわり|かなしばり|くさむすび|ほのおのパンチ|だいもんじ|かえんほうしゃ|にほんばれ|アクアブレイク|ダイビング|たきのぼり|シェルブレード|ハイドロポンプ|だくりゅう|なみのり|みずのはどう|ひやみず|うずしお|あまごい|かみなりパンチ|でんじは|パワージェム|ダストシュート|どくづき|ゲップ|ヘドロウェーブ|ヘドロばくだん|ベノムショック|アシッドボム|どくびし|どくどく|じしん|あなをほる|じだんだ|じならし|マッドショット|れいとうパンチ|ゆきなだれ|ふぶき|れいとうビーム|こごえるかぜ|ゆきげしき|さむいギャグ|ドレインパンチ|かわらわり|ローキック|きあいだま|しねんのずつき|みらいよち|サイコキネシス|ぶきみなじゅもん|ワイドフォース|サイコショック|サイコノイズ|アシストパワー|サイコフィールド|いやしのはどう|ワンダールーム|トリックルーム|めいそう|ふういん|スキルスワップ|トリック|ねむる|ドわすれ|ひかりのかべ|シャドーボール|たたりめ|のろい|イカサマ|なげつける|バークアウト|わるだくみ|ちょうはつ|アイアンテール|てっぺき"
"p0205","0205","205","フォレトス","がんじょう|ぼうじん","75","90","140","60","60","40","false","","","","","","","","","","むし|はがね","だいばくはつ|じばく|ギガインパクト|すてみタックル|のしかかり|からげんき|こうそくスピン|じたばた|はかいこうせん|りんしょう|いびき|てだすけ|いたみわけ|ねごと|こらえる|まもる|みがわり|タネばくだん|ソーラービーム|ギガドレイン|にほんばれ|あまごい|でんじほう|ボルトチェンジ|でんじふゆう|でんじは|とびかかる|むしくい|とびつく|ミサイルばり|むしのさざめき|むしのていこう|ストーンエッジ|いわなだれ|がんせきふうじ|ロックブラスト|ステルスロック|すなあらし|どくづき|ベノムショック|どくびし|じしん|ドリルライナー|あなをほる|じならし|すなじごく|だいちのちから|まきびし|アイススピナー|ボディプレス|きしかいせい|カウンター|パワートリック|じゅうりょく|ねむる|リフレクター|ひかりのかべ|のろい|しっぺがえし|アイアンローラー|アイアンヘッド|スマートホーン|ハードプレス|ヘビーボンバー|ジャイロボール|てっていこうせん|ラスターカノン|てっぺき|きんぞくおん"
"p0208","0208","208","ハガネール","いしあたま|がんじょう|ちからずく","75","85","200","55","65","30","false","","","","","","","","","","はがね|じめん","じばく|ギガインパクト|すてみタックル|のしかかり|からげんき|しめつける|じたばた|はかいこうせん|りんしょう|いびき|とおせんぼう|ねごと|メロメロ|こらえる|こわいかお|まもる|みがわり|いやなおと|ほのおのキバ|にほんばれ|かみなりのキバ|でんじふゆう|もろはのずつき|ストーンエッジ|いわなだれ|がんせきふうじ|うちおとす|ロックブラスト|メテオビーム|げんしのちから|ワイドガード|ステルスロック|ロックカット|すなあらし|じしん|10まんばりき|ドリルライナー|あなをほる|じだんだ|じならし|すなじごく|じわれ|だいちのちから|ねっさのだいち|こおりのキバ|ボディプレス|サイコファング|ねむる|のろい|ワイドブレイカー|ドラゴンテール|りゅうのはどう|りゅうのまい|かみくだく|ぶんまわす|しっぺがえし|あくのはどう|ちょうはつ|アイアンローラー|アイアンテール|アイアンヘッド|ヘビーボンバー|ジャイロボール|てっていこうせん|ラスターカノン|てっぺき"
